"Market Name","Date","Sales","Dollar Volume","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","2024-07-01","30569","13237559262","433038","345000","127159","4.69"
"Texas","2024-06-01","29813","12757981981","427933","345000","124861","4.62"
"Texas","2024-05-01","33402","14718547062","440648","345000","118098","4.31"
"Texas","2024-04-01","30672","13187639623","429956","340000","109030","3.96"
"Texas","2024-03-01","28534","11843211382","415056","336500","102551","3.75"
"Texas","2024-02-01","24012","9652610212","401991","332990","96987","3.52"
"Texas","2024-01-01","19328","7619102071","394200","324950","93353","3.4"
"Texas","2023-12-01","23460","9620720383","410090","335000","92200","3.37"
"Texas","2023-11-01","22863","9187141316","401834","325000","101030","3.67"
"Texas","2023-10-01","24696","10084705921","408353","330000","101637","3.69"
"Texas","2023-09-01","26433","10991064505","415808","338000","99212","3.59"
"Texas","2023-08-01","31513","13248240501","420405","340000","95330","3.4"
"Texas","2023-07-01","29799","12713758333","426650","345000","91479","3.24"
"Texas","2023-06-01","34321","14788935577","430900","347688","89076","3.13"
"Texas","2023-05-01","34426","14682060891","426481","345000","81930","2.85"
"Texas","2023-04-01","28535","11830499311","414596","337000","77985","2.7"
"Texas","2023-03-01","30900","12411019809","401651","330000","77941","2.66"
"Texas","2023-02-01","23524","9181336216","390296","325000","76399","2.57"
"Texas","2023-01-01","18037","6943018246","384931","318990","79141","2.63"
"Texas","2022-12-01","25052","9969914565","397968","330999","80837","2.64"
"Texas","2022-11-01","23073","9216593229","399453","330000","88843","2.82"
"Texas","2022-10-01","26153","10562897070","403888","335000","90452","2.8"
"Texas","2022-09-01","30988","12696173677","409712","340486","87670","2.66"
"Texas","2022-08-01","33782","14020865038","415039","344000","83348","2.49"
"Texas","2022-07-01","32535","13735216873","422167","350000","81036","2.4"
"Texas","2022-06-01","37462","16402167869","437834","360000","68932","2.01"
"Texas","2022-05-01","36717","16261577491","442889","360000","51986","1.5"
"Texas","2022-04-01","34033","14646507217","430361","349900","43370","1.25"
"Texas","2022-03-01","35315","14390156853","407480","335000","37331","1.07"
"Texas","2022-02-01","27380","10645123276","388791","325000","36134","1.04"
"Texas","2022-01-01","25046","9393204175","375038","313160","38326","1.11"
"Texas","2021-12-01","35749","13937318744","389865","321000","41641","1.21"
"Texas","2021-11-01","32626","12432258192","381053","315000","48099","1.39"
"Texas","2021-10-01","33703","12668482818","375885","310000","53308","1.55"
"Texas","2021-09-01","36641","13705464609","374047","308000","55390","1.6"
"Texas","2021-08-01","38548","14619967000","379266","310000","55768","1.61"
"Texas","2021-07-01","39117","15089305412","385748","310000","55240","1.59"
"Texas","2021-06-01","41102","16005623126","389412","310000","47154","1.35"
"Texas","2021-05-01","37416","14304820592","382318","301000","42359","1.22"
"Texas","2021-04-01","35859","13207118242","368306","290500","43095","1.27"
"Texas","2021-03-01","35117","12645359160","360092","283000","41795","1.26"
"Texas","2021-02-01","23940","8251782177","344685","275000","44749","1.37"
"Texas","2021-01-01","24157","7776412900","321911","262000","50185","1.53"
"Texas","2020-12-01","36312","12295819486","338615","270000","52972","1.63"
"Texas","2020-11-01","31466","10487250995","333288","269900","60730","1.9"
"Texas","2020-10-01","36229","12004344255","331346","269000","66561","2.12"
"Texas","2020-09-01","36903","12029476744","325975","265000","69148","2.24"
"Texas","2020-08-01","38058","12441385964","326905","265225","73163","2.42"
"Texas","2020-07-01","43459","14275635604","328485","269000","79274","2.65"
"Texas","2020-06-01","38249","11960709408","312706","260000","82263","2.81"
"Texas","2020-05-01","27142","7975753870","293852","249000","89324","3.09"
"Texas","2020-04-01","25859","7649761134","295825","249900","92429","3.11"
"Texas","2020-03-01","30513","9121887683","298950","248900","91233","3.02"
"Texas","2020-02-01","24637","7207388279","292543","244000","90279","3"
"Texas","2020-01-01","20861","5809839194","278502","233000","90175","3.01"
"Texas","2019-12-01","29672","8947919499","301561","249000","87867","2.96"
"Texas","2019-11-01","25568","7334042160","286844","239999","98094","3.34"
"Texas","2019-10-01","29199","8486757597","290652","241000","103132","3.52"
"Texas","2019-09-01","28937","8373315590","289363","242000","104993","3.61"
"Texas","2019-08-01","35140","10341652287","294298","245000","107790","3.73"
"Texas","2019-07-01","35962","10708478717","297772","247000","109111","3.79"
"Texas","2019-06-01","33855","10369327656","306286","249990","109562","3.83"
"Texas","2019-05-01","36424","11060566625","303661","247000","105796","3.68"
"Texas","2019-04-01","31827","9314756957","292668","240000","100518","3.52"
"Texas","2019-03-01","29259","8357008287","285621","235000","97476","3.43"
"Texas","2019-02-01","22437","6106168259","272147","230000","94278","3.32"
"Texas","2019-01-01","17913","4752867272","265330","221450","93305","3.29"
"Texas","2018-12-01","25569","7296794707","285376","235000","90111","3.17"
"Texas","2018-11-01","24891","6995984883","281064","230000","99818","3.49"
"Texas","2018-10-01","27098","7514602939","277312","229900","102905","3.59"
"Texas","2018-09-01","26549","7433140072","279978","230000","104436","3.65"
"Texas","2018-08-01","33882","9754126834","287885","236000","106795","3.72"
"Texas","2018-07-01","33582","9729710157","289729","239458","106308","3.74"
"Texas","2018-06-01","35277","10515612100","298086","241500","104425","3.7"
"Texas","2018-05-01","34622","10097166198","291640","240000","99278","3.52"
"Texas","2018-04-01","29973","8467601464","282507","231000","92908","3.3"
"Texas","2018-03-01","29009","8144077539","280743","230000","88670","3.18"
"Texas","2018-02-01","21961","5936756330","270331","225000","84406","3.02"
"Texas","2018-01-01","18765","4865301275","259275","216796","83598","3"
"Texas","2017-12-01","27491","7675218778","279190","228250","82725","2.98"
"Texas","2017-11-01","25445","6880122768","270391","221675","92839","3.36"
"Texas","2017-10-01","26666","7114331956","266794","219145","97770","3.56"
"Texas","2017-09-01","28003","7540793411","269285","223000","101010","3.7"
"Texas","2017-08-01","30556","8420437809","275573","227000","105537","3.86"
"Texas","2017-07-01","31221","8763639126","280696","226967","107209","3.9"
"Texas","2017-06-01","35105","10066204358","286745","231000","104821","3.83"
"Texas","2017-05-01","33461","9480379149","283326","229000","98761","3.63"
"Texas","2017-04-01","27390","7451174756","272039","223000","94430","3.51"
"Texas","2017-03-01","28933","7802318204","269668","218500","91128","3.38"
"Texas","2017-02-01","20880","5467544984","261855","214500","85532","3.19"
"Texas","2017-01-01","17861","4519269609","253024","203088","83972","3.14"
"Texas","2016-12-01","25839","6912296913","267514","217000","82880","3.1"
"Texas","2016-11-01","23604","6225282440","263738","214500","90555","3.4"
"Texas","2016-10-01","25025","6498525131","259681","210000","95012","3.61"
"Texas","2016-09-01","28051","7266130773","259032","210000","97024","3.69"
"Texas","2016-08-01","32298","8539506392","264397","215000","98414","3.75"
"Texas","2016-07-01","29904","7892684866","263934","216000","99547","3.82"
"Texas","2016-06-01","32911","8985393015","273020","220000","96662","3.67"
"Texas","2016-05-01","30506","8141968125","266897","215000","92310","3.52"
"Texas","2016-04-01","27571","7048907369","255663","205500","90916","3.49"
"Texas","2016-03-01","27112","6806845135","251063","201710","88915","3.42"
"Texas","2016-02-01","20401","4923313237","241327","194900","85956","3.33"
"Texas","2016-01-01","17106","4036651791","235978","189000","84208","3.28"
"Texas","2015-12-01","25545","6503147816","254576","200000","82105","3.21"
"Texas","2015-11-01","19574","4770905272","243736","192000","90051","3.53"
"Texas","2015-10-01","24681","6049114270","245091","191000","93976","3.68"
"Texas","2015-09-01","27355","6701931144","244998","195000","95885","3.75"
"Texas","2015-08-01","30097","7602757143","252608","200000","95963","3.77"
"Texas","2015-07-01","32774","8430624282","257235","202000","97645","3.86"
"Texas","2015-06-01","32022","8433222968","263357","206000","92322","3.68"
"Texas","2015-05-01","28606","7433968171","259874","202500","88595","3.55"
"Texas","2015-04-01","26297","6560085594","249461","194000","85862","3.44"
"Texas","2015-03-01","25296","6193796578","244852","189725","82096","3.3"
"Texas","2015-02-01","18627","4392851367","235832","185000","81216","3.29"
"Texas","2015-01-01","16230","3703322269","228177","177500","80190","3.25"
"Texas","2014-12-01","24201","5952881018","245976","189900","82669","3.36"
"Texas","2014-11-01","19982","4722178657","236321","183000","88203","3.61"
"Texas","2014-10-01","25449","5967925901","234505","180000","92861","3.81"
"Texas","2014-09-01","25467","6036312515","237024","183000","94919","3.93"
"Texas","2014-08-01","28957","6971683651","240759","187000","97555","4.06"
"Texas","2014-07-01","29967","7338610785","244889","189078","98818","4.11"
"Texas","2014-06-01","30247","7529127612","248921","190000","97171","4.04"
"Texas","2014-05-01","28714","7044394663","245329","185000","94678","3.97"
"Texas","2014-04-01","25315","5971500887","235887","179000","91766","3.83"
"Texas","2014-03-01","23118","5332691842","230672","176995","89466","3.73"
"Texas","2014-02-01","18469","4140649401","224194","172500","88626","3.69"
"Texas","2014-01-01","15738","3318834527","210880","163874","87033","3.64"
"Texas","2013-12-01","21397","4930464428","230427","174000","87119","3.65"
"Texas","2013-11-01","19624","4358514176","222101","169900","93175","3.93"
"Texas","2013-10-01","22632","4950388870","218734","169900","97301","4.11"
"Texas","2013-09-01","23877","5291952637","221633","170850","99246","4.22"
"Texas","2013-08-01","29430","6745378228","229200","175000","100946","4.35"
"Texas","2013-07-01","30048","7007031293","233194","178000","101559","4.44"
"Texas","2013-06-01","28091","6660493464","237104","179500","99883","4.46"
"Texas","2013-05-01","29564","6831185276","231064","175053","97818","4.41"
"Texas","2013-04-01","25647","5826708322","227188","170000","96938","4.46"
"Texas","2013-03-01","23402","4984148393","212979","163000","96442","4.53"
"Texas","2013-02-01","17414","3490480464","200441","155281","97075","4.62"
"Texas","2013-01-01","15540","2941739742","189301","148525","95190","4.57"
"Texas","2012-12-01","19390","4144296274","213733","161000","95269","4.63"
"Texas","2012-11-01","18998","3883096178","204394","158000","102574","5.03"
"Texas","2012-10-01","20824","4197053282","201548","155000","106885","5.32"
"Texas","2012-09-01","19933","4027086104","202031","158000","110912","5.62"
"Texas","2012-08-01","25789","5324869382","206478","159900","113934","5.81"
"Texas","2012-07-01","24101","5091511700","211257","162450","117808","6.11"
"Texas","2012-06-01","25329","5452219399","215256","164000","118419","6.24"
"Texas","2012-05-01","24201","5166496398","213482","160000","118260","6.31"
"Texas","2012-04-01","20640","4217167739","204320","155000","117321","6.37"
"Texas","2012-03-01","19906","3970882597","199481","152900","115525","6.32"
"Texas","2012-02-01","15357","2875792935","187262","145000","114228","6.3"
"Texas","2012-01-01","12487","2241710541","179523","138000","112931","6.3"
"Texas","2011-12-01","17103","3352641967","196026","150000","112248","6.3"
"Texas","2011-11-01","15499","2909469744","187719","145000","120616","6.79"
"Texas","2011-10-01","16351","3103722776","189818","145000","126040","7.13"
"Texas","2011-09-01","18512","3540439319","191251","147500","130094","7.41"
"Texas","2011-08-01","21960","4331474742","197243","151000","133360","7.69"
"Texas","2011-07-01","20219","4035363036","199582","151000","138746","8.16"
"Texas","2011-06-01","22697","4618085583","203466","152000","141531","8.46"
"Texas","2011-05-01","20302","4037282377","198861","149500","142345","8.52"
"Texas","2011-04-01","18802","3593161606","191105","144976","137906","8.13"
"Texas","2011-03-01","18339","3505519557","191151","143000","139828","8.1"
"Texas","2011-02-01","12679","2401453861","189404","144900","135440","7.78"
"Texas","2011-01-01","11383","2068969980","181759","138000","134135","7.68"
"Texas","2010-12-01","16423","3289444785","200295","149485","133433","7.57"
"Texas","2010-11-01","14398","2770405568","192416","145083","140087","7.92"
"Texas","2010-10-01","14990","2813548050","187695","143518","144963","8.04"
"Texas","2010-09-01","16050","3039613200","189384","145572","149686","8.1"
"Texas","2010-08-01","17831","3523690896","197616","151735","153348","8.18"
"Texas","2010-07-01","17336","3552354432","204912","153007","155243","8.18"
"Texas","2010-06-01","22864","4604055088","201367","150953","152451","7.82"
"Texas","2010-05-01","23812","4477632292","188041","146844","146389","7.52"
"Texas","2010-04-01","22893","4213410864","184048","145475","139065","7.27"
"Texas","2010-03-01","20465","3765171165","183981","142833","138366","7.4"
"Texas","2010-02-01","13781","2473331194","179474","139997","131375","7.12"
"Texas","2010-01-01","10797","1903489506","176298","135888","127713","6.92"
"Texas","2009-12-01","16914","3220053492","190378","143225","121667","6.58"
"Texas","2009-11-01","18710","3354572030","179293","141268","127116","6.89"
"Texas","2009-10-01","20272","3626376992","178886","141660","129058","7.17"
"Texas","2009-09-01","19374","3562704234","183891","146355","131293","7.39"
"Texas","2009-08-01","20634","3921429798","190047","148703","134546","7.6"
"Texas","2009-07-01","23335","4485197015","192209","151931","136497","7.61"
"Texas","2009-06-01","22693","4464371197","196729","153692","135909","7.54"
"Texas","2009-05-01","19790","3745297080","189252","148018","138057","7.56"
"Texas","2009-04-01","17733","3148600548","177556","141757","137928","7.38"
"Texas","2009-03-01","17345","3058079605","176309","138529","138258","7.24"
"Texas","2009-02-01","13847","2397081864","173112","137160","135710","6.99"
"Texas","2009-01-01","11121","1833041067","164827","130899","133370","6.73"
"Texas","2008-12-01","16582","2995057422","180621","139508","131084","6.51"
"Texas","2008-11-01","13215","2347539030","177642","136182","140462","6.9"
"Texas","2008-10-01","17476","3214570392","183942","141171","144383","6.9"
"Texas","2008-09-01","18552","3458779224","186437","143714","147886","6.97"
"Texas","2008-08-01","23411","4645187209","198419","150170","151606","7.09"
"Texas","2008-07-01","24599","4901670537","199263","151540","154539","7.08"
"Texas","2008-06-01","25324","5128084676","202499","153300","155825","7.03"
"Texas","2008-05-01","24980","4909594180","196541","149290","157333","6.98"
"Texas","2008-04-01","22593","4285530612","189684","145572","153979","6.72"
"Texas","2008-03-01","21359","4027602553","188567","145572","152082","6.57"
"Texas","2008-02-01","18552","3387242712","182581","141366","147912","6.28"
"Texas","2008-01-01","15023","2683243007","178609","137649","144754","6.11"
"Texas","2007-12-01","19310","3728761000","193100","146159","140026","5.86"
"Texas","2007-11-01","19847","3745525840","188720","143518","145668","6"
"Texas","2007-10-01","21132","3903397380","184715","142247","151024","6.18"
"Texas","2007-09-01","20488","3866515848","188721","145475","153206","6.21"
"Texas","2007-08-01","28874","5730796024","198476","151148","151038","6.03"
